Отбор,Риск,Регион,ID проекта,Проект,Город,Округ,Район,Класс,Девелопер,Застройщик,Плановая дата РВЭ,Стадия реализации,Стадия строительства,Статус графика
проблемный,высокий (заморожен),Щёлково,2ca4d5c5067dea9fabd4bdbecc6d3cb1,Горизонт,Щёлково,,Щёлково г.о.,Комфорт,Бизнеслэнд,Бизнеслэнд,2019-04-30,Заморожен,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,средний (снят с продажи),Москва,c6bcf2246d22d85f1e0b6c7a965b58df,Турист,Москва,СВАО,Ростокино,Эконом,Алтай,Февраль,2022-01-31,Удален,Реконструкция,просрочка (не в графике)
проблемный,средний (снят с продажи),Сочи,54c8c3337371a5fff89d2d8d558ed4a4,Volna Resort Line One,Сочи,Сочи г.о.,Адлерский р-н,Элитный,AR Group,Nedvex,2023-09-30,Удален,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,высокий (заморожен),Старая Купавна,0dae2a614a344f51b839f16cec512bc7,Венеция,Старая Купавна,,Богородский г.о.,Комфорт,Восточная инвестиционно-строительная компания,Восточная инвестиционно-строительная компания,2023-09-30,Заморожен,Работы нулевого цикла,просрочка (не в графике)
проблемный,средний (снят с продажи),пгт Красная Поляна,24136c9c9c9e80201c393fbff6af628e,Высота 511,пгт Красная Поляна,,Адлерский р-н,Бизнес,Талан-Сервис,ТАЛАН,2024-04-30,Удален,"Получение РВЭ, благоустройство территории",просрочка (не в графике)
проблемный,средний (снят с продажи),Сочи,2212495d03711981d25a146918a0fae9,Coral Family,Сочи,Сочи г.о.,Адлерский р-н,Бизнес,ИП Балюк Алексей Эдуардович,ИП Балюк Алексей Эдуардович,2024-06-30,Удален,Реконструкция,просрочка (не в графике)
проблемный,средний (снят с продажи),Сочи,ee5d37290728d6cbc5f087eb9c4171df,ATRIUM AVENUE,Сочи,Сочи г.о.,Хостинский р-н,Бизнес,Nedvex ,Nedvex,2024-12-30,Удален,Реконструкция,просрочка (не в графике)
проблемный,высокий (заморожен),Сочи,40aceaf33b6a7cc8ae997b1d8e69d0da,LOO RESORT & SPA,Сочи,Сочи г.о.,Сочи г.о.,Премиум,РостИнвестСтрой,РостИнвестСтрой,2025-03-31,Замороженный,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,высокий (заморожен),Новосибирск,568e7d17de308b40e4f140f192d2847d,Сибирячка,Новосибирск,,Ленинский,Эконом,Плюс-К,СТРОЙ-ПЛЮС,2025-03-31,Замороженный,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,средний (снят с продажи),Москва,5fc5ccc257c198fdb83ea90cf8acd259,Мюр и Мерилиз / Дом на Малой Грузинской,Москва,ЦАО,Пресненский,Премиум,October Group,"МАЛАЯ ГРУЗИНСКАЯ, 3.6",2025-03-31,Удален,Строительство не начато,просрочка (не в графике)
проблемный,средний (снят с продажи),Сочи,e907ea8a4ce22074b11f63eff509121e,Radisson Collection Hotel,Сочи,Сочи г.о.,Сочи г.о.,Элитный,AR Group,КРАСМАШЕВСКИЙ,2025-06-30,Удален,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,средний (снят с продажи),Москва,7ab8c4cd85faf5cd0ffd13e911b2c9e2,Мой адрес на 2-й Фрезерной 6,Москва,ЮВАО,Нижегородский,Комфорт,КП УГС,Фонд Реновации,2025-06-30,Удален,Монтажные и отделочные работы,просрочка (не в графике)
проблемный,средний (снят с продажи),Сочи,57ba96aec6b45ef1c6626e58e1b5c507,Морская Панорама,Сочи,Сочи г.о.,Сочи г.о.,Бизнес,Данелян Руслан Левонович ,Данелян Руслан Левонович ,2025-11-30,Удален,"Получение РВЭ, благоустройство территории",просрочка (не в графике)
проблемный,средний (снят с продажи),Артём,bb7deb65060825497cb9e24d5e4774ee,Лесной,Артём,,Артёмовский г.о.,Комфорт,ОСК,ОСК,2025-12-30,Удален,Работы нулевого цикла,просрочка (не в графике)
проблемный,"низкий (задержка, в продаже)",Казань,54a993d2868cf0d8fa56e8003b3189c9,Дом по ул. Хади Атласи,Казань,,Вахитовский,Бизнес,Суварстроит,СТРОЙРЕСУРС ИНВЕСТ,2025-12-30,В реализации,"Получение РВЭ, благоустройство территории",просрочка (не в графике)
проблемный,"низкий (задержка, в продаже)",Уссурийск,9affa3f88911b987487ed94f2727a1d5,Ягоды,Уссурийск,,Уссурийский г.о.,Комфорт,КОРАЛ РЭД,КОРАЛ РЭД,2025-12-31,В реализации,"Получение РВЭ, благоустройство территории",просрочка (не в графике)
